id,price,team_count,client_id,begin_at,closed_at,service_type,is_accepted
1,34,2,10,2009-08-11,2017-02-11,poster,0
2,100,3,1,2009-10-04,2026-06-29,text,0
3,97,2,10,2009-08-21,2014-06-09,text,0
4,87,2,7,2009-04-03,2019-05-16,video,0
5,75,2,7,2009-06-29,2026-12-26,logo,0
6,70,4,2,2010-08-15,2026-03-22,text,1
7,73,2,2,2007-06-12,2012-11-16,logo,0
8,32,1,5,2010-06-05,2024-06-12,video,1
9,23,4,7,2010-05-10,2020-03-03,logo,0
10,20,1,1,2009-05-20,2024-10-22,media care,1
11,75,1,3,2015-07-06,2017-10-28,media care,1
12,87,3,7,2009-01-31,2012-02-19,logo,0
13,30,5,15,2012-06-11,2017-09-02,video,0
14,62,3,5,2012-09-12,2015-04-19,text,1
15,48,4,19,2016-01-01,2028-11-22,video,0
16,48,4,8,2016-06-25,2027-12-31,video,1
17,68,4,6,2014-04-26,2020-06-22,poster,0
18,87,2,16,2016-07-18,2029-08-21,media care,0
19,41,1,14,2013-03-07,2024-11-22,media care,1
20,42,5,16,2011-10-09,2019-12-27,text,1
