id,duration,hourly_rate,employee_id,contract_id,date
1,6,75,3,1,2010-03-08
2,7,36,5,2,2010-07-25
3,8,71,3,3,2009-10-25
4,8,94,2,4,2010-03-25
5,6,78,4,5,2008-01-12
6,3,76,5,6,2010-08-16
7,6,54,10,7,2010-02-08
8,7,38,5,8,2010-07-22
9,5,72,3,9,2009-02-08
10,7,94,5,10,2010-08-07
11,2,75,13,11,2016-10-10
12,5,73,10,12,2008-10-25
13,8,69,4,13,2013-11-13
14,5,75,19,14,2014-02-26
15,6,53,1,15,2008-07-25
16,4,64,13,16,2016-07-25
17,2,80,14,17,2015-09-01
18,5,38,7,18,2013-01-18
19,7,20,19,19,2014-12-10
20,7,56,17,20,2016-07-13
