contract_id,employee_id
1,87
1,93
1,3
2,91
2,95
2,48
3,65
3,14
3,22
3,8
3,54
4,68
4,39
4,36
4,62
4,6
5,75
5,58
6,32
6,6
7,6
7,23
7,35
8,83
9,11
9,46
9,36
9,79
9,83
10,42
10,31
11,50
11,87
11,42
12,17
12,8
12,37
12,97
13,7
13,42
13,31
13,39
13,84
14,52
14,16
14,68
14,79
14,51
15,67
16,81
16,5
16,23
16,29
17,48
17,28
17,11
18,13
18,76
19,82
19,18
19,89
19,63
19,22
20,35
20,96
20,81
20,51
20,10
21,99
21,66
21,6
21,88
22,67
22,33
22,13
23,66
23,33
23,39
23,31
24,81
25,58
26,41
26,56
26,85
26,93
26,24
27,70
27,83
27,77
27,34
27,74
28,83
28,48
29,22
29,58
29,41
30,87
30,43
31,12
32,19
33,77
33,14
33,49
34,33
34,68
34,37
34,97
34,23
35,99
36,57
36,52
36,69
37,18
38,7
38,59
39,89
39,35
39,14
39,100
40,81
40,62
40,67
41,14
41,86
41,72
42,46
43,19
43,96
43,95
44,28
44,65
45,91
45,4
45,80
46,36
46,13
46,43
46,8
46,100
47,25
48,34
48,81
48,29
48,77
49,76
49,51
49,94
49,87
49,31
50,11
50,15
50,4
51,41
51,100
51,83
51,75
52,61
52,15
53,4
53,6
53,45
54,60
54,64
54,90
54,35
54,25
55,29
55,33
55,48
55,98
55,88
56,83
57,54
57,51
57,4
57,61
58,70
58,44
58,82
59,35
59,84
59,1
59,41
59,75
60,30
61,18
61,27
61,21
61,72
62,42
62,38
62,56
62,64
62,13
63,58
64,25
64,90
64,72
64,61
64,4
65,98
65,80
65,95
66,14
66,23
66,42
66,61
67,90
67,25
68,79
69,74
69,1
69,29
69,93
70,100
71,14
72,2
72,56
72,66
73,23
74,34
75,48
75,91
75,72
76,79
76,17
77,40
77,52
77,23
78,56
79,18
80,7
81,4
82,77
83,4
83,26
84,80
84,50
85,57
85,60
86,94
86,46
86,19
86,15
86,18
87,59
87,18
87,83
88,58
88,1
89,75
89,49
89,32
90,13
90,3
91,77
91,22
91,41
91,40
91,87
92,66
92,54
92,40
92,14
93,36
93,21
93,97
93,5
94,43
94,4
94,26
94,95
95,26
96,97
96,95
96,50
97,97
97,48
97,40
97,51
98,27
98,97
98,23
99,45
99,94
99,7
100,44
100,49
101,135
101,97
101,68
101,180
101,171
102,61
102,126
102,160
103,178
103,34
103,194
103,90
103,107
104,16
104,61
104,121
105,18
105,117
106,33
106,83
107,110
108,56
108,19
108,197
108,193
108,196
109,22
109,7
110,51
110,30
111,190
111,34
111,104
112,82
112,135
113,156
113,87
114,28
114,130
115,136
115,159
115,111
116,50
116,53
117,5
117,92
117,184
118,50
118,120
118,96
119,45
119,158
120,23
120,66
120,115
121,93
121,176
121,196
121,94
121,60
122,162
122,105
122,42
123,68
123,130
124,67
124,167
124,119
125,14
126,8
126,32
127,60
127,168
127,192
127,183
127,126
128,31
129,67
129,61
129,136
129,97
129,33
130,135
130,39
131,68
131,192
131,39
131,170
132,19
132,58
132,179
132,40
132,192
133,61
134,77
135,39
135,24
135,41
135,23
136,102
136,147
136,173
137,84
137,150
137,85
137,176
138,51
138,98
138,58
139,4
139,1
139,75
139,41
140,101
141,93
141,38
142,73
142,101
142,145
142,89
143,122
144,122
144,63
144,98
145,37
145,31
145,178
146,190
146,43
146,123
146,113
147,48
147,139
147,115
148,193
148,186
148,7
148,173
148,76
149,196
149,199
150,74
150,181
150,81
151,183
151,167
151,65
151,91
151,141
152,58
152,138
153,194
153,168
153,46
153,161
154,98
154,87
154,115
155,169
155,39
156,172
157,98
158,30
159,111
159,118
159,73
160,41
160,181
160,159
160,26
160,6
161,86
161,62
161,1
161,126
161,107
162,156
163,65
163,30
163,175
163,194
164,32
164,168
164,84
165,39
165,152
165,100
166,125
166,30
166,175
166,72
166,117
167,50
167,8
167,56
168,1
168,14
168,90
168,5
168,68
169,158
170,97
170,106
171,87
171,198
171,148
171,116
172,175
172,17
173,6
174,142
174,119
174,77
175,32
175,66
176,174
176,180
177,29
177,101
177,100
177,137
177,91
178,101
179,147
179,34
179,95
179,6
180,184
180,50
180,25
181,35
181,138
181,73
182,153
182,110
182,87
183,112
183,45
183,129
183,98
183,176
184,195
184,67
184,56
184,98
184,83
185,131
185,54
185,127
185,105
186,119
186,198
186,70
187,185
188,187
189,131
190,151
191,176
191,25
192,65
192,171
193,61
193,72
194,95
194,119
194,130
194,118
195,200
196,160
196,83
196,61
196,28
196,44
197,167
197,199
197,130
197,35
198,26
198,148
198,119
198,187
199,168
199,186
199,92
200,98
200,91
200,105
200,97
200,157
