id,price,team_count,client_id,begin_at,closed_at,service_type,is_accepted
1,51,3,35,2007-07-30,2014-09-13,poster,1
2,49,3,65,2010-08-04,2011-03-10,video,0
3,89,5,23,2009-09-26,2014-12-23,logo,0
4,81,5,62,2010-03-28,2020-08-09,text,1
5,63,2,19,2009-08-05,2016-06-05,media care,0
6,31,2,94,2009-07-20,2026-01-20,logo,1
7,27,3,1,2009-04-11,2024-06-24,media care,1
8,50,1,2,2008-12-14,2014-02-08,poster,1
9,55,5,57,2006-10-29,2019-08-09,media care,1
10,49,2,11,2010-07-02,2013-03-18,poster,0
11,44,3,46,2010-01-30,2024-03-30,poster,1
12,49,4,84,2010-01-22,2013-11-17,video,1
13,49,5,62,2010-08-10,2012-03-14,video,0
14,58,5,96,2008-12-08,2027-10-25,poster,0
15,74,1,35,2009-12-10,2022-05-28,media care,0
16,78,4,22,2007-12-13,2025-01-21,poster,1
17,34,3,82,2010-05-25,2028-02-28,logo,0
18,30,2,76,2009-10-17,2014-02-01,poster,0
19,47,5,27,2010-03-14,2021-04-05,video,0
20,26,5,18,2008-12-11,2012-12-16,media care,1
21,76,4,10,2008-06-11,2024-02-19,text,1
22,96,3,84,2010-08-01,2026-03-17,text,0
23,80,4,8,2010-07-26,2020-10-08,poster,1
24,64,1,96,2009-02-05,2027-04-13,logo,1
25,34,1,10,2008-11-13,2011-03-23,poster,0
26,20,5,68,2009-01-24,2029-07-31,poster,1
27,69,5,27,2007-09-20,2023-10-17,text,1
28,83,2,23,2010-06-26,2027-10-15,media care,1
29,95,3,92,2010-06-11,2022-10-04,media care,1
30,70,2,51,2009-05-29,2017-01-07,media care,0
31,96,1,39,2007-06-20,2025-09-23,poster,0
32,74,1,31,2007-08-27,2029-05-19,video,0
33,93,3,35,2007-07-31,2019-06-22,logo,1
34,59,5,70,2008-03-14,2029-12-05,text,1
35,33,1,43,2006-07-11,2010-10-02,logo,1
36,80,3,69,2009-06-05,2014-05-07,media care,1
37,38,1,94,2009-02-28,2021-07-09,media care,0
38,77,2,62,2008-09-14,2026-01-07,text,1
39,71,4,1,2007-08-24,2020-09-06,video,0
40,35,3,63,2008-05-05,2016-04-26,text,0
41,58,3,93,2010-02-28,2022-11-08,media care,1
42,96,1,43,2008-02-13,2026-04-24,logo,0
43,91,3,32,2010-08-07,2020-11-02,text,0
44,33,2,43,2009-11-22,2024-07-07,logo,1
45,41,3,16,2010-07-21,2021-05-03,logo,1
46,61,5,24,2009-08-27,2026-04-18,logo,1
47,69,1,33,2009-03-08,2025-12-19,text,1
48,51,4,53,2010-07-20,2025-03-20,video,1
49,31,5,17,2010-02-12,2017-02-17,poster,0
